"Train Nos.","Tambaram","Perungulathur","Vandalur","Urappakkam","Guduvancheri","Potheri","Kattangulathur","Maraimalai Nagar","Singaperumal koil","Paranur","Chengalpattu Jn."
"BTL1","8:00","8:05","8:08","8:12","8:16","8:20","8:23","8:25","8:30","8:36","08:40"
"BTL3","10:25","10:30","10:33","10:37","10:41","10:45","10:48","10:50","10:55","11:01","11:10"
"BTL5","11:40","11:45","11:48","11:52","11:56","12:00","12:03","12:05","12:10","12:16","12:20"
"BTL7","18:55",,,,,,,,,,"19:25"
"BTL9","20:15","20:20","20:23","20:27","20:31","20:35","20:38","20:40","20:45","20:51","21:00"
"BTL11","21:15","21:20","21:23","21:27","21:31","21:35","21:38","21:40","21:45","21:51","21:55"
