trip_id,service_id,trip_short_name,stop_name,time,sequence
T47WDS,WDS,T47,Tambaram,10:51:00,18
T49WDS,WDS,T49,Chennai Beach,10:01:00,1
T49WDS,WDS,T49,Chennai Fort,10:05:00,2
T49WDS,WDS,T49,Chennai Park,10:08:00,3
T49WDS,WDS,T49,Chennai Egmore,10:11:00,4
T49WDS,WDS,T49,Chetpet,10:15:00,5
T49WDS,WDS,T49,Nungambakkam,10:18:00,6
T49WDS,WDS,T49,Kodambakkam,10:20:00,7
T49WDS,WDS,T49,Mambalam,10:22:00,8
T49WDS,WDS,T49,Saidapet,10:25:00,9
T49WDS,WDS,T49,Guindy,10:28:00,10
T49WDS,WDS,T49,St. Thomas Mount,10:31:00,11
T49WDS,WDS,T49,Palavanthangal,10:34:00,12
T49WDS,WDS,T49,Minambakkam,10:37:00,13
T49WDS,WDS,T49,Tirusulam,10:39:00,14
T49WDS,WDS,T49,Pallavaram,10:42:00,15
T49WDS,WDS,T49,Chromepet,10:45:00,16
T49WDS,WDS,T49,Tambaram Sanatorium,10:48:00,17
T49WDS,WDS,T49,Tambaram,10:56:00,18
T51WDS,WDS,T51,Chennai Beach,10:06:00,1
T51WDS,WDS,T51,Chennai Fort,10:10:00,2
T51WDS,WDS,T51,Chennai Park,10:13:00,3
T51WDS,WDS,T51,Chennai Egmore,10:16:00,4
T51WDS,WDS,T51,Chetpet,10:20:00,5
T51WDS,WDS,T51,Nungambakkam,10:23:00,6
T51WDS,WDS,T51,Kodambakkam,10:25:00,7
T51WDS,WDS,T51,Mambalam,10:27:00,8
T51WDS,WDS,T51,Saidapet,10:30:00,9
T51WDS,WDS,T51,Guindy,10:33:00,10
T51WDS,WDS,T51,St. Thomas Mount,10:36:00,11
T51WDS,WDS,T51,Palavanthangal,10:39:00,12
T51WDS,WDS,T51,Minambakkam,10:42:00,13
T51WDS,WDS,T51,Tirusulam,10:44:00,14
T51WDS,WDS,T51,Pallavaram,10:47:00,15
T51WDS,WDS,T51,Chromepet,10:50:00,16
T51WDS,WDS,T51,Tambaram Sanatorium,10:53:00,17
T51WDS,WDS,T51,Tambaram,11:01:00,18
BC23WDS,WDS,BC23,Chennai Beach,10:11:00,1
BC23WDS,WDS,BC23,Chennai Fort,10:15:00,2
BC23WDS,WDS,BC23,Chennai Park,10:18:00,3
BC23WDS,WDS,BC23,Chennai Egmore,10:21:00,4
BC23WDS,WDS,BC23,Chetpet,10:25:00,5
BC23WDS,WDS,BC23,Nungambakkam,10:28:00,6
BC23WDS,WDS,BC23,Kodambakkam,10:30:00,7
BC23WDS,WDS,BC23,Mambalam,10:32:00,8
BC23WDS,WDS,BC23,Saidapet,10:35:00,9
BC23WDS,WDS,BC23,Guindy,10:38:00,10
BC23WDS,WDS,BC23,St. Thomas Mount,10:41:00,11
BC23WDS,WDS,BC23,Palavanthangal,10:44:00,12
BC23WDS,WDS,BC23,Minambakkam,10:47:00,13
BC23WDS,WDS,BC23,Tirusulam,10:49:00,14
BC23WDS,WDS,BC23,Pallavaram,10:52:00,15
BC23WDS,WDS,BC23,Chromepet,10:55:00,16
BC23WDS,WDS,BC23,Tambaram Sanatorium,10:58:00,17
BC23WDS,WDS,BC23,Tambaram,11:06:00,18
T53WDS,WDS,T53,Chennai Beach,10:16:00,1
T53WDS,WDS,T53,Chennai Fort,10:20:00,2
T53WDS,WDS,T53,Chennai Park,10:23:00,3
T53WDS,WDS,T53,Chennai Egmore,10:26:00,4
T53WDS,WDS,T53,Chetpet,10:30:00,5
T53WDS,WDS,T53,Nungambakkam,10:33:00,6
T53WDS,WDS,T53,Kodambakkam,10:35:00,7
T53WDS,WDS,T53,Mambalam,10:37:00,8
T53WDS,WDS,T53,Saidapet,10:40:00,9
T53WDS,WDS,T53,Guindy,10:43:00,10
T53WDS,WDS,T53,St. Thomas Mount,10:46:00,11
T53WDS,WDS,T53,Palavanthangal,10:49:00,12
T53WDS,WDS,T53,Minambakkam,10:52:00,13
T53WDS,WDS,T53,Tirusulam,10:54:00,14
T53WDS,WDS,T53,Pallavaram,10:57:00,15
T53WDS,WDS,T53,Chromepet,11:00:00,16
T53WDS,WDS,T53,Tambaram Sanatorium,11:03:00,17
T53WDS,WDS,T53,Tambaram,11:11:00,18
T55WDS,WDS,T55,Chennai Beach,10:23:00,1
T55WDS,WDS,T55,Chennai Fort,10:27:00,2
T55WDS,WDS,T55,Chennai Park,10:30:00,3
T55WDS,WDS,T55,Chennai Egmore,10:33:00,4
T55WDS,WDS,T55,Chetpet,10:37:00,5
T55WDS,WDS,T55,Nungambakkam,10:40:00,6
T55WDS,WDS,T55,Kodambakkam,10:42:00,7
T55WDS,WDS,T55,Mambalam,10:44:00,8
T55WDS,WDS,T55,Saidapet,10:47:00,9
T55WDS,WDS,T55,Guindy,10:50:00,10
T55WDS,WDS,T55,St. Thomas Mount,10:53:00,11
T55WDS,WDS,T55,Palavanthangal,10:56:00,12
T55WDS,WDS,T55,Minambakkam,10:59:00,13
T55WDS,WDS,T55,Tirusulam,11:01:00,14
T55WDS,WDS,T55,Pallavaram,11:04:00,15
T55WDS,WDS,T55,Chromepet,11:07:00,16
T55WDS,WDS,T55,Tambaram Sanatorium,11:10:00,17
T55WDS,WDS,T55,Tambaram,11:18:00,18
T57WDS,WDS,T57,Chennai Beach,10:30:00,1
T57WDS,WDS,T57,Chennai Fort,10:34:00,2
T57WDS,WDS,T57,Chennai Park,10:37:00,3
T57WDS,WDS,T57,Chennai Egmore,10:40:00,4
T57WDS,WDS,T57,Chetpet,10:44:00,5
T57WDS,WDS,T57,Nungambakkam,10:47:00,6
T57WDS,WDS,T57,Kodambakkam,10:49:00,7
T57WDS,WDS,T57,Mambalam,10:51:00,8
T57WDS,WDS,T57,Saidapet,10:54:00,9
T57WDS,WDS,T57,Guindy,10:57:00,10
T57WDS,WDS,T57,St. Thomas Mount,11:00:00,11
T57WDS,WDS,T57,Palavanthangal,11:03:00,12
T57WDS,WDS,T57,Minambakkam,11:06:00,13
T57WDS,WDS,T57,Tirusulam,11:08:00,14
T57WDS,WDS,T57,Pallavaram,11:11:00,15
T57WDS,WDS,T57,Chromepet,11:14:00,16
T57WDS,WDS,T57,Tambaram Sanatorium,11:17:00,17
T57WDS,WDS,T57,Tambaram,11:25:00,18
T59WDS,WDS,T59,Chennai Beach,10:35:00,1
T59WDS,WDS,T59,Chennai Fort,10:39:00,2
T59WDS,WDS,T59,Chennai Park,10:42:00,3
T59WDS,WDS,T59,Chennai Egmore,10:45:00,4
T59WDS,WDS,T59,Chetpet,10:49:00,5
T59WDS,WDS,T59,Nungambakkam,10:52:00,6
T59WDS,WDS,T59,Kodambakkam,10:54:00,7
T59WDS,WDS,T59,Mambalam,10:56:00,8
T59WDS,WDS,T59,Saidapet,10:59:00,9
T59WDS,WDS,T59,Guindy,11:02:00,10
T59WDS,WDS,T59,St. Thomas Mount,11:05:00,11
T59WDS,WDS,T59,Palavanthangal,11:08:00,12
T59WDS,WDS,T59,Minambakkam,11:11:00,13
T59WDS,WDS,T59,Tirusulam,11:13:00,14
T59WDS,WDS,T59,Pallavaram,11:16:00,15
T59WDS,WDS,T59,Chromepet,11:19:00,16
T59WDS,WDS,T59,Tambaram Sanatorium,11:22:00,17
T59WDS,WDS,T59,Tambaram,11:30:00,18
T61WDS,WDS,T61,Chennai Beach,10:40:00,1
T61WDS,WDS,T61,Chennai Fort,10:44:00,2
T61WDS,WDS,T61,Chennai Park,10:47:00,3
T61WDS,WDS,T61,Chennai Egmore,10:50:00,4
T61WDS,WDS,T61,Chetpet,10:54:00,5
T61WDS,WDS,T61,Nungambakkam,10:57:00,6
T61WDS,WDS,T61,Kodambakkam,10:59:00,7
T61WDS,WDS,T61,Mambalam,11:01:00,8
T61WDS,WDS,T61,Saidapet,11:04:00,9
T61WDS,WDS,T61,Guindy,11:07:00,10
T61WDS,WDS,T61,St. Thomas Mount,11:10:00,11
T61WDS,WDS,T61,Palavanthangal,11:13:00,12
T61WDS,WDS,T61,Minambakkam,11:16:00,13
T61WDS,WDS,T61,Tirusulam,11:18:00,14
T61WDS,WDS,T61,Pallavaram,11:21:00,15
T61WDS,WDS,T61,Chromepet,11:24:00,16
T61WDS,WDS,T61,Tambaram Sanatorium,11:27:00,17
T61WDS,WDS,T61,Tambaram,11:35:00,18
BTL5WDS,WDS,BTL5,Chennai Beach,10:45:00,1
BTL5WDS,WDS,BTL5,Chennai Fort,10:49:00,2
BTL5WDS,WDS,BTL5,Chennai Park,10:52:00,3
BTL5WDS,WDS,BTL5,Chennai Egmore,10:55:00,4
BTL5WDS,WDS,BTL5,Chetpet,10:59:00,5
BTL5WDS,WDS,BTL5,Nungambakkam,11:02:00,6
BTL5WDS,WDS,BTL5,Kodambakkam,11:04:00,7
BTL5WDS,WDS,BTL5,Mambalam,11:06:00,8
BTL5WDS,WDS,BTL5,Saidapet,11:09:00,9
BTL5WDS,WDS,BTL5,Guindy,11:12:00,10
BTL5WDS,WDS,BTL5,St. Thomas Mount,11:15:00,11
BTL5WDS,WDS,BTL5,Palavanthangal,11:18:00,12
BTL5WDS,WDS,BTL5,Minambakkam,11:21:00,13
BTL5WDS,WDS,BTL5,Tirusulam,11:23:00,14
BTL5WDS,WDS,BTL5,Pallavaram,11:26:00,15
BTL5WDS,WDS,BTL5,Chromepet,11:29:00,16
BTL5WDS,WDS,BTL5,Tambaram Sanatorium,11:32:00,17
BTL5WDS,WDS,BTL5,Tambaram,11:40:00,18
T63WDS,WDS,T63,Chennai Beach,10:52:00,1
T63WDS,WDS,T63,Chennai Fort,10:56:00,2
T63WDS,WDS,T63,Chennai Park,10:59:00,3
T63WDS,WDS,T63,Chennai Egmore,11:02:00,4
T63WDS,WDS,T63,Chetpet,11:06:00,5
T63WDS,WDS,T63,Nungambakkam,11:09:00,6
T63WDS,WDS,T63,Kodambakkam,11:11:00,7
T63WDS,WDS,T63,Mambalam,11:13:00,8
T63WDS,WDS,T63,Saidapet,11:16:00,9
T63WDS,WDS,T63,Guindy,11:19:00,10
T63WDS,WDS,T63,St. Thomas Mount,11:22:00,11
T63WDS,WDS,T63,Palavanthangal,11:25:00,12
T63WDS,WDS,T63,Minambakkam,11:28:00,13
T63WDS,WDS,T63,Tirusulam,11:30:00,14
T63WDS,WDS,T63,Pallavaram,11:33:00,15
T63WDS,WDS,T63,Chromepet,11:36:00,16
T63WDS,WDS,T63,Tambaram Sanatorium,11:39:00,17
T63WDS,WDS,T63,Tambaram,11:47:00,18
BC25WDS,WDS,BC25,Chennai Beach,11:00:00,1
BC25WDS,WDS,BC25,Chennai Fort,11:04:00,2
BC25WDS,WDS,BC25,Chennai Park,11:07:00,3
BC25WDS,WDS,BC25,Chennai Egmore,11:10:00,4
