"Train Nos.","Chennai Beach","Chennai Fort","Chennai Park","Chennai Egmore","Chetpet","Nungambakkam","Kodambakkam","Mambalam","Saidapet","Guindy","St. Thomas Mount","Palavanthangal","Minambakkam","Tirusulam","Pallavaram","Chromepet","Tambaram Sanatorium","Tambaram"
"BTL1","7:05","7:09","7:12","7:15","7:19","7:22","7:24","7:26","7:29","7:32","7:35","7:38","7:41","7:43","7:46","7:49","7:52","8:00"
"BTL3","9:30","9:34","9:37","9:40","9:44","9:47","9:49","9:51","9:54","9:57","10:00","10:03","10:06","10:08","10:11","10:14","10:17","10:25"
"BTL5","10:45","10:49","10:52","10:55","10:59","11:02","11:04","11:06","11:09","11:12","11:15","11:18","11:21","11:23","11:26","11:29","11:32","11:40"
"BTL7","18:00","18:04","18:07","18:10","18:14","18:17","18:19","18:21","18:24","18:27","18:30","18:33","18:36","18:38","18:41","18:44","18:47","18:55"
"BTL11","20:20","20:24","20:27","20:30","20:34","20:37","20:39","20:41","20:44","20:47","20:50","20:53","20:56","20:58","21:01","21:04","21:07","21:15"
