trip_id,service_id,trip_short_name,stop_name,time,sequence
BVL11WDS,WDS,BVL11,Chennai Beach,06:15:00,1
BVL11WDS,WDS,BVL11,Chennai Fort,06:19:00,2
BVL11WDS,WDS,BVL11,Park Town,06:21:00,3
BVL11WDS,WDS,BVL11,Chintadripet,06:23:00,4
BVL11WDS,WDS,BVL11,Chepauk,06:25:00,5
BVL11WDS,WDS,BVL11,Tiruvellikeni,06:27:00,6
BVL11WDS,WDS,BVL11,Light House,06:29:00,7
BVL11WDS,WDS,BVL11,Thirumayilai,06:32:00,8
BVL11WDS,WDS,BVL11,Mandaveli,06:34:00,9
BVL11WDS,WDS,BVL11,Greenways Road,06:36:00,10
BVL11WDS,WDS,BVL11,Kotturpuram,06:38:00,11
BVL11WDS,WDS,BVL11,Kasturba Nagar,06:40:00,12
BVL11WDS,WDS,BVL11,Indira Nagar,06:42:00,13
BVL11WDS,WDS,BVL11,Thiruvanmiyur,06:43:00,14
BVL11WDS,WDS,BVL11,Tharamani,06:46:00,15
BVL11WDS,WDS,BVL11,Perungudi,06:48:00,16
BVL11WDS,WDS,BVL11,Velachery,06:55:00,17
BVL13WDS,WDS,BVL13,Chennai Beach,06:25:00,1
BVL13WDS,WDS,BVL13,Chennai Fort,06:29:00,2
BVL13WDS,WDS,BVL13,Park Town,06:31:00,3
BVL13WDS,WDS,BVL13,Chintadripet,06:33:00,4
BVL13WDS,WDS,BVL13,Chepauk,06:35:00,5
BVL13WDS,WDS,BVL13,Tiruvellikeni,06:37:00,6
BVL13WDS,WDS,BVL13,Light House,06:39:00,7
BVL13WDS,WDS,BVL13,Thirumayilai,06:42:00,8
BVL13WDS,WDS,BVL13,Mandaveli,06:44:00,9
BVL13WDS,WDS,BVL13,Greenways Road,06:46:00,10
BVL13WDS,WDS,BVL13,Kotturpuram,06:48:00,11
BVL13WDS,WDS,BVL13,Kasturba Nagar,06:50:00,12
BVL13WDS,WDS,BVL13,Indira Nagar,06:52:00,13
BVL13WDS,WDS,BVL13,Thiruvanmiyur,06:53:00,14
BVL13WDS,WDS,BVL13,Tharamani,06:56:00,15
