"Train Nos.","Chengalpattu Jn.","Paranur","Singaperumal koil","Maraimalai Nagar","Kattangulathur","Potheri","Guduvancheri","Urappakkam","Vandalur","Perungulathur","Tambaram"
"TLB2","6:20","6:25","6:31","6:36","6:38","6:41","6:45","6:49","6:53","6:56","7:15"
"TLB4","8:00","8:05","8:11","8:16","8:18","8:21","8:25","8:29","8:33","8:36","8:50"
"TLB6","9:00",,,,,,,,,"9:23","9:35"
"TLB8","11:15","11:20","11:26","11:31","11:33","11:36","11:40","11:44","11:48","11:51","12:00"
"TLB10","14:50","14:55","15:01","15:06","15:08","15:11","15:15","15:19","15:23","15:26","15:40"
"TLB12","18:20","18:25","18:31","18:36","18:38","18:41","18:45","18:49","18:53","18:56","19:05"
